,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0,Player Link,Player ID
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,,
530,531,Fabio Vieira,pt POR,"MF,FW",Arsenal,22,2000,5.7,1,15,2,13.3,2.63,0.35,0.07,0.50,20.1,0,0,0,0.8,0.8,0.06,+0.2,+0.2,Matches,https://fbref.com/en/players/6412cc03/Fabio-Vieira,6412cc03
531,532,Matías Viña,uy URU,DF,Bournemouth,24,1997,5.1,2,9,6,66.7,1.77,1.18,0.22,0.33,18.6,0,0,0,0.9,0.9,0.10,+1.1,+1.1,Matches,https://fbref.com/en/players/08eb3b58/Matias-Vina,08eb3b58
532,533,Rúben Vinagre,pt POR,"DF,MF",Everton,23,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/b937e490/Ruben-Vinagre,b937e490
533,534,Carlos Vinícius,br BRA,FW,Fulham,27,1995,12.3,5,21,12,57.1,1.70,0.97,0.24,0.42,11.9,0,0,0,3.3,3.3,0.16,+1.7,+1.7,Matches,https://fbref.com/en/players/8b529245/Carlos-Vinicius,8b529245
534,535,Theo Walcott,eng ENG,"FW,MF",Southampton,33,1989,12.5,2,20,7,35.0,1.59,0.56,0.10,0.29,16.9,0,0,0,2.2,2.2,0.11,-0.2,-0.2,Matches,https://fbref.com/en/players/1ecb65be/Theo-Walcott,1ecb65be
535,536,Kyle Walker,eng ENG,DF,Manchester City,32,1990,21.8,0,5,1,20.0,0.23,0.05,0.00,0.00,24.8,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,https://fbref.com/en/players/86dd77d1/Kyle-Walker,86dd77d1
536,537,Kyle Walker-Peters,eng ENG,DF,Southampton,25,1997,29.4,1,13,5,38.5,0.44,0.17,0.08,0.20,18.1,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches,https://fbref.com/en/players/984a5a64/Kyle-Walker-Peters,984a5a64
537,538,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,24,1997,15.9,0,10,2,20.0,0.63,0.13,0.00,0.00,14.7,0,0,0,1.2,1.2,0.12,-1.2,-1.2,Matches,https://fbref.com/en/players/9e525177/Aaron-Wan-Bissaka,9e525177
538,539,Danny Ward,wls WAL,GK,Leicester City,29,1993,26.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,https://fbref.com/en/players/d3ce0e89/Danny-Ward,d3ce0e89
539,540,Joel Ward,eng ENG,DF,Crystal Palace,32,1989,25.1,1,8,2,25.0,0.32,0.08,0.13,0.50,16.5,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches,https://fbref.com/en/players/8a7ff278/Joel-Ward,8a7ff278
